numContrato;idCliente;fechaInicio;montoSaldoAnterior;moneda;montoLeasing;plazoOriginal;plazo;tasa;tipoArrendamiento;montoDeposito;montoDepositoAbonado;montoSinSeguro;montoSeguroContrato;montoMantenimiento;montoSeguroMantenimiento;montoCompraFinal;montoProveedor;diaPago;fechaPrimerPago;fechaUltimoPago;fechaCancelacion;montoValorFiscal;diasGraciaPrimerPago;montoiva;anioCancelacion;churn;desTipoArrendamiento;nombreCliente;Canal;Industria;Segmento;valorCliente
14057;16503;2024-05-24;87758,82;2;87758,82;60;60;12,751347376418;4;17000;17000;1600,97;254,75;62;1958,89;17000;68000;24;2024-08-24;2029-07-24;1900-01-01;115063,2;31;41,17;1900;No;Inventario;Cliente_1844;Call Center;Comercio;Gobierno;Cliente Riesgo
14124;551;2024-07-30;66444,59;2;66444,59;60;60;12,751347376418;4;12800;12800;1213,73;268,99;124;1657,8;12800;53600;29;2024-08-29;2029-07-29;1900-01-01;96403,2;30;51,08;1900;No;Inventario;Cliente_3220;Online;Agroindustria;Individual;Cliente Estratégico
14032;17504;2024-04-22;43202,45;2;43202,45;60;60;12,751347376418;4;8340;8340;788,8;141,62;62;1018,88;8340;31960;22;2024-05-22;2029-04-22;1900-01-01;59545,2;30;26,46;1900;No;Inventario;Cliente_2870;Online;Salud;Individual;Cliente Ocasional
14143;17301;2024-08-29;138607,19;2;138607,19;60;60;12,751347376418;4;26880;26880;2527,86;177,3;72;2809,57122547345;26880;134400;28;2024-09-28;2029-08-28;1900-01-01;166629,6;30;32,41;1900;No;Inventario;Cliente_2661;Distribuidor;Servicios;Institucional;Cliente Estratégico
14169;17666;2024-09-18;172153,1;2;172153,1;60;60;12,751347376418;4;33400;33400;3139,33;333,72;72;3597,79048608196;33400;149000;18;2024-10-18;2029-09-18;1900-01-01;212703;30;52,74;1900;No;Inventario;Cliente_3036;Distribuidor;Salud;Corporativo;Cliente Estratégico
14152;17614;2024-09-05;90767,57;2;90767,57;60;60;12,751347376418;1;34458;34458;1061,62;172,92;72;1338,3756800499;17700;88500;5;2024-10-05;2029-09-05;1900-01-01;78392,4;30;31,84;1900;No;Finanzas;Cliente_2984;Tercero (Broker);Servicios;Institucional;Cliente Riesgo
14159;17619;2024-09-13;195920,47;2;195920,47;60;60;12,751347376418;1;74460;74460;2748,08;464,61;144;3435,79954681384;0;176040;13;2024-10-13;2029-09-13;1900-01-01;201401,4;30;79,11;1900;No;Finanzas;Cliente_2989;Distribuidor;Agroindustria;Gobierno;Cliente Nuevo
14180;17677;2024-09-27;128649,47;2;128649,47;60;60;12,751347376418;4;30000;29999;1902,33;232,41;72;2246,30562205384;57470;115547;27;2024-10-27;2029-09-27;1900-01-01;132404,4;30;39,57;1900;No;Inventario;Cliente_3047;Call Center;Salud;Individual;Cliente Estratégico
14174;16376;2024-09-23;272996,62;2;272996,62;60;60;12,751347376418;4;53000;53000;4977,49;248,38;72;5339,51961306462;53000;250856,93;23;2024-10-23;2029-09-23;1900-01-01;317872,2;30;41,65;1900;No;Inventario;Cliente_1712;Distribuidor;Agroindustria;Individual;Cliente Ocasional
13799;17307;2023-09-21;113075,25;2;113075,25;60;60;12,751347376418;4;33000;33000;1811,73;249,66;62;2163,9;33000;110000;21;2023-10-21;2028-09-21;1900-01-01;127403,4;30;40,51;1900;No;Inventario;Cliente_2667;Directo;Comercio;Corporativo;Cliente Nuevo
14033;16610;2024-04-22;140341,52;2;140341,52;60;60;12,751347376418;4;27220;27220;2559,44;213,63;32;2837;27220;108880;22;2024-05-22;2029-04-22;1900-01-01;168304,2;30;31,93;1900;No;Inventario;Cliente_1953;Online;Agroindustria;Gobierno;Cliente Ocasional
13907;16858;2023-12-21;198484,99;2;198484,99;60;60;12,751347376418;4;49560;49560;3369,47;517,14;62;4023,9;49560;143440;20;2024-01-20;2028-12-20;1900-01-01;236916,6;30;75,29;1900;No;Inventario;Cliente_2212;Call Center;Educación;Individual;Cliente Estratégico
14139;17161;2024-08-29;95828,55;2;95828,55;60;60;12,751347376418;4;18400,8;18400,8;1751,83;318,51;248;2391,99;18400,8;73603,2;28;2024-09-28;2029-08-28;1900-01-01;139100,4;30;73,65;1900;No;Inventario;Cliente_2519;Distribuidor;Construcción;Institucional;Cliente Estratégico
14183;16842;2024-10-02;67075,63;2;67075,63;60;60;12,751347376418;4;16250;16250;1149,95;212,85;72;1471,82525745341;16250;48750;1;2024-11-01;2029-10-01;1900-01-01;86088;30;37,03;1900;No;Inventario;Cliente_2196;Distribuidor;Construcción;Individual;Cliente Estratégico
14171;17605;2024-09-20;431627,95;2;431627,95;60;60;12,751347376418;4;115668;115668;7148,69;1428,71;144;8925,85;115668;304332;20;2024-10-20;2029-09-20;1900-01-01;523284;30;204,45;1900;No;Inventario;Cliente_2975;Online;Salud;Corporativo;Cliente Riesgo
13924;15506;2024-01-10;139119,34;2;139119,34;60;60;12,751347376418;4;26984,4;26984,4;2213,27;319,09;62;2643,9;53968,8;113255,92;10;2024-02-10;2029-01-10;1900-01-01;155661,6;31;49,54;1900;No;Inventario;Cliente_1313;Online;Educación;Individual;Cliente Estratégico
13927;14481;2024-01-12;123764,37;2;123764,37;60;60;12,751347376418;4;24000;24000;1969,19;322,7;62;2403,9;48000;120000;12;2024-02-12;2029-01-12;1900-01-01;141233,4;31;50;1900;No;Inventario;Cliente_1035;Distribuidor;Servicios;PyME;Cliente Estratégico
13928;16142;2024-01-12;82458,67;2;82458,67;60;60;12,751347376418;4;20000;20000;1413,15;217,43;62;1728,9;20000;79000;12;2024-02-12;2029-01-12;1900-01-01;101554,8;31;36,32;1900;No;Inventario;Cliente_1487;Tercero (Broker);Servicios;Institucional;Cliente Estratégico
13939;16849;2024-01-25;107821,36;2;107821,36;60;60;12,751347376418;4;35000;35000;1647,61;242,58;62;1991,78;35000;101000;25;2024-02-25;2029-01-25;1900-01-01;117131,4;31;39,59;1900;No;Inventario;Cliente_2203;Tercero (Broker);Agroindustria;Institucional;Cliente Ocasional
