COD_EMPRESA;COD_CLIENTE;CAT_CLIENTE;NOM_CLIENTE;IND_SEGMENTO;FEC_INGRESO;IND_RELACION;COD_AGENCIA;COD_MONEDA;COD_ACTIVIDAD;COD_SUBACTIVIDAD;COD_SUBSUBACTIVIDAD;Ind_Activo;VALOR_ESTRATEGICO;SECTOR_ECONOMICO;CANAL_VENTA
100;1;10;Cliente_0001;2;1998-08-19 00:00:00.000;2;156;NULL;10304;NULL;3;N;B         ;5;1
100;10008;10;Cliente_0002;4;2008-06-01 00:00:00.000;1;156;NULL;10299;NULL;3;N;D         ;3;3
100;10009;1;Cliente_0003;3;2008-06-01 00:00:00.000;5;156;NULL;10273;10234;3;S;C         ;5;3
100;10010;10;Cliente_0004;3;2008-06-01 00:00:00.000;1;156;NULL;10301;NULL;3;N;A         ;6;5
100;10011;10;Cliente_0005;3;2008-07-01 00:00:00.000;3;156;NULL;10301;NULL;3;N;C         ;1;3
100;10029;5;Cliente_0006;3;2008-07-01 00:00:00.000;1;156;NULL;10304;NULL;3;N;A         ;7;5
100;10040;10;Cliente_0007;3;2008-07-01 00:00:00.000;5;156;NULL;10299;NULL;3;N;C         ;7;4
100;10062;10;Cliente_0008;3;2008-07-01 18:11:03.000;2;156;NULL;10299;NULL;3;N;D         ;5;5
100;10067;10;Cliente_0009;3;2008-07-01 00:00:00.000;4;156;NULL;10299;NULL;3;N;C         ;6;1
100;10078;10;Cliente_0010;2;2008-07-01 00:00:00.000;1;156;NULL;10299;NULL;3;N;C         ;5;3
100;10088;10;Cliente_0011;4;2008-07-01 00:00:00.000;4;156;NULL;10304;NULL;3;N;C         ;6;2
100;10092;10;Cliente_0012;2;2008-07-01 00:00:00.000;2;156;NULL;10299;NULL;3;N;A         ;2;4
100;10100;10;Cliente_0013;3;2008-07-01 11:14:57.000;5;156;NULL;10299;NULL;3;N;A         ;1;2
100;10110;10;Cliente_0014;3;2008-07-01 00:00:00.000;2;156;NULL;10304;NULL;3;N;B         ;7;5
100;10111;10;Cliente_0015;1;2008-07-01 00:00:00.000;1;156;NULL;10304;NULL;3;N;A         ;6;5
100;10113;10;Cliente_0016;5;2008-07-01 00:00:00.000;3;156;NULL;10304;NULL;3;N;B         ;6;3
100;10115;1;Cliente_0017;1;2008-07-01 00:00:00.000;4;156;NULL;10304;NULL;3;N;D         ;1;5
100;10123;5;Cliente_0018;3;2008-07-01 00:00:00.000;1;156;NULL;10224;50010;3;S;D         ;5;5
100;10124;1;Cliente_0019;3;2008-07-01 00:00:00.000;5;156;NULL;10224;50018;5;S;A         ;4;5
100;10129;10;Cliente_0020;2;2008-07-01 00:00:00.000;3;156;NULL;10304;NULL;3;N;C         ;6;2
